SID,Score,Correctly states that frequency is proportional to energy of light,Explaining sentence 1: energy levels of an electron in an atom are quantized,Explaining sentence 1: FULLY explains energy/frequency absorbed must equal the difference in energy levels in an electron,Explaining sentence 1: PARTIALLY explains energy/frequency absorbed must equal the difference in energy levels in an electron,Explaining sentence 2: a minimum amount of energy is needed to eject an electron,Explaining sentence 2: any additional energy becomes kinetic energy,Incorrect statement included,Incorrect,Blank,Adjustment,Comments
ba244d41-ec7d-4feb-ba44-ab6bf6ef2981,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
74348a75-54cb-477d-9efa-7f5b522f0637,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
83705fbf-d8aa-4e13-a7a2-c4139ee888ff,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,"E total is IE + KE, not PE"
9617c4fd-8d26-44d5-a501-97b94f44b2db,5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
7e7ac384-39cb-4c52-9128-6f41b10a226a,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
945e933e-60c6-4e77-acf7-a5fd718a686e,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
ca2aeaf5-fee1-4eef-b1bf-15d804125704,6,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
39b22844-7fc9-4bb4-829a-3276cef39f46,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
6b34994a-9e1c-497a-ae37-8fac0280491b,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
099e3df9-ff50-43c4-843f-f0777fcb4ea0,5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
b74a250a-8e5e-45f7-800c-ce0cb3210825,5,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
e7489632-c665-4b7e-93c2-956ba12cbbce,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,"IE is a constant value for an energy level; you need to make sure that the energy, not ionization energy, of the electron is high enough to eject it"
7db3082a-45d8-4c4a-85f6-3970ec358a94,8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
48188f17-a9b3-48d9-8384-8498af2b03dc,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
5b51e31b-def6-489c-aa2f-36921e1d8fd9,6,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
9c07e012-6eb8-4a49-ae65-85dffa1a4fb9,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,"frequency is not proportional to KE, but rather the energy of light"
efbec4b0-dc11-49c2-9bad-13a0fac968fb,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
0708eaac-c84c-4936-885e-4a64e24679bc,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
cdbbf87e-87f4-44b2-9d1c-7da4cfe2cc8e,6,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
de3a6c1a-03ed-4a5e-8858-3cd6f06262bb,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
201af499-d5cd-4679-97fd-f6b3c5d86593,8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
d159b4cc-c862-47f5-a2c6-a8200e9d5c00,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
db3c068c-8677-4c63-bb93-17b1ec8b768a,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
9f948a88-d62c-4ab2-834c-9f6fda0893be,6,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
4598cf16-a7a5-460b-a271-ffb15be82194,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
347c5e72-2d32-42f7-8059-bc45cc71f78c,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
cd7f0c10-196f-440e-a3db-c3805b38a665,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
42552590-50e1-4d59-ae4c-ce052bf054a1,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
57cd675b-2fce-4d43-bc27-5bad23e74a14,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
442085b7-caa1-4ca4-a2d0-4cbbb059ccbf,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
2a2c83e7-a809-40d4-89e6-3d5724e07dd3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
8a2e54fb-75a8-4812-a140-484073eac3f3,8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
3b0e3ddd-c375-4b85-bf46-4c4a7fa983bf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,
26421893-1cc8-4128-982e-a226ab7a8b62,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,"Actually, if an electron is imparted with photons with energy equal to or greater than the minimum threshold frequency, the electron is ejected from an atom"
55ab1bda-264b-458b-bae6-fea9833b52d7,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
263af335-57b9-414f-9f8c-374a2c3dad16,8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
927072e1-2cd1-40c1-87ef-b6569f5566d6,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
6adcf01f-28a6-435e-ae5e-e49e96f50d52,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
c5c947c0-3e1a-4076-b3a1-d09e1f9a9b93,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
d8ca9314-d779-41d3-81ff-8834222583df,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
5b0278fc-09be-412a-9b64-ac2afcc10e0d,5,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
0cdbf1f4-a2f0-4c61-b2fd-27850dba0f1e,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
d3aef318-c88a-46ae-a31c-32c01dec7c2b,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
9913a049-d9e2-483b-8fa1-11528ff94793,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
f47bf481-3ee9-4f29-bf29-0b70b51741b9,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
d673c2c5-9be1-4729-bafc-fb94121b694c,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
282bc446-4f9c-487d-86ef-b2419dac36a4,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
91fe44bf-3b02-4f4d-82b6-8968c120a895,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
c5c80766-42f7-4585-bdf4-e8cec6143afc,8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,great answer!!
e4d19904-ea83-40e1-9a68-3d10dcecf69c,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
625a7dfb-cdbc-42fb-9b73-4c2e4e094135,5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
f2f0d935-8c6b-42d8-bb07-327f27c0c4e6,4,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
d3c17e28-9a5a-49e5-b9eb-5ca21a8ed567,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
9b1b388c-a5b6-4d39-8926-1fdeeac9d4a2,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,emitted electrons do not emit photons; photons are emitted when electrons fall back down to lower energy levels
04e130df-b363-49bf-9c99-9bb87c515b5c,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
f9a6c436-187f-4407-aaf1-523716277b7c,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
6cc710ac-8c49-47fd-be4d-e81d8484d968,7,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
d94d1a9d-31d5-4147-8d63-d895f206c317,5,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,Rydberg Equation can only be used for Hydrogen
167b8192-ef71-46de-b419-1b02be6e849d,4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
40014b14-3683-4a8f-b72c-c14c80de3864,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
bb8f6156-eb2e-42cc-876b-cdcb2bb51c92,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
0ddae085-83c8-4e95-82c9-112fb747c55a,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,"Photons are not emitted after electrons are ionized, but rather when electrons lose certain amounts of energy and fall to lower energy levels"
2129c5fe-37c4-4590-b6be-29b80b2d8c3b,5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
853fb5a1-ae56-4a4d-a7b4-518487f3ce64,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
1e9339db-ed12-4ee7-9911-8f2e3f61c0f6,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
11099f53-36ee-4b1d-a7bd-0692d2b2670d,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
f56afd3a-1943-491d-878c-7fa128ffef1f,5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
e32a5d19-aee6-4ed6-950a-f2139fd2b7fa,7,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
c12b1209-feff-4d73-be47-dbb545e8ba1b,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
5ee49306-811a-49e5-a33e-44149684534a,4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
2cd24b67-9160-4e01-b22d-888ada9f2aa1,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,"The threshold frequency is the energy required to ionize an electron from an atom, not the energy required to excite an electron to a higher energy level"
f06e45c3-0a42-4ad6-938c-1a2cfe5f8a65,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
730850f6-2c35-4c70-bb1c-b931378b5d8b,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
4ecb79c4-69c6-470f-9290-ab1454aa9794,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
c24aec67-d885-4820-b70b-8481ed83cd3f,5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
83855ee6-55a7-41c4-a1ba-ceac6fe99830,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
48e38676-4ba3-456e-9ed4-65d8a75504f1,5,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
03267d44-9361-4a78-a58c-1c2fd0dc4384,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
24e63ed9-6eb5-4fd8-b526-eb49db10db88,5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
6ac1e34f-18ed-495f-8997-daf4cd9a5a4a,4,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
b8ee5291-3d6c-4d0d-905d-3cb9d55d1d82,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
13da305f-f9cd-48af-9a4b-77634385d9c6,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
0d99e3c1-84f8-4127-90df-112b60e04fcd,6,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
22db3276-4211-40f7-9a82-d977f5c3672b,4,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
090a80a6-2b44-47df-b2d9-c2e3c7a651cd,7,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
21563059-20d5-46bf-bb5a-bd05ded46ae1,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
aa6b30a2-9287-4ed1-804d-050ff0459f4e,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
233af034-a72a-457d-89be-4f6275ab3835,5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
88424cef-340f-4b2c-80f8-ab61bcaf9161,5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
59633389-2e89-4714-82d3-18182413676f,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
6484493c-2ef3-4968-b499-b4dbe5e34669,7,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
5b8ece7a-de04-4fce-8162-c2dc07bbcf63,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
91ade2eb-b9e0-4d5f-b468-a770303f597e,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
e9d283d7-3a61-474c-bd5d-24e7ab6a8fe7,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
4b6af913-ce1d-44a0-9f8a-3fe9e225f017,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
653772b9-0971-463d-bf23-e93ea69f8b80,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
28f61a2b-e560-4ac1-abaf-dd2dd44d0b37,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
b55d0d87-0391-45d2-a69c-825c5bc9c7ff,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
791a6efc-bce9-4d91-828d-bb92360eef48,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
8444522e-a0fa-40e4-a590-31ad5e49d0c9,3,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-1,"question asks about absorption of light, not emission"
07f978ef-83d7-4ee8-872e-7b4efd268709,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
cc29bdf9-fe25-4be0-9ea5-4bf05a902b71,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
134ede5a-5053-414a-bc8b-49d503726d32,7,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
f115fec3-9c9f-4e8c-bc3c-0c1dc322c54b,5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
748fd48d-b70a-42bc-8013-ccf2843170b0,4,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
135c4432-1673-4fcf-8221-827e7bc27f00,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,You are confusing the energy of light with IE in your last few sentences. 
8af21f0e-6eb1-4a0f-8b04-6f3814c46f0b,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
efed073e-e575-467d-b4d4-bef6a057b9f9,4,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
5eda0228-262c-4a5d-b8ca-23ef0deeb823,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
c9f19d62-f8e2-4b34-912e-ed1454bca6ec,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
1b39faae-72c0-4ee8-b22f-f76077d22f83,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
b948b3b4-f165-4391-9e05-4d944ca81681,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
e146e645-6548-4032-953c-7a22210d39d0,8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,Amazing job! 
b8bd8422-a1dc-4421-b530-11157b796a00,3,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
93c25114-9e25-442b-aa4b-60609bc11b0a,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,
04063add-b4ce-4af4-8af2-5a8f44745b79,4,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
59cad451-197c-429c-8e82-a8fde3573e95,5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
dd76dd8c-5227-4c3f-b26d-048cdb1baaf1,8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
73d90254-608a-40f2-a39c-91d7b9324eac,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
c67f1be6-2489-4485-8095-d2492cba8de9,4,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,you do not distinguish between the quantization of energy of a photon and the quantization of energy of an electron
473b4435-007d-4a1b-a4b9-ee2b2a180208,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
afaff6e4-b113-496a-9047-522849a7130a,5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
f820a3ea-976a-4e66-bc1e-b00944a3fc12,5,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,
cf12ddc5-b494-4476-826a-3bcd338d84c1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
99fed758-c8e8-4693-85f2-2cfb6f1f8497,5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
bd0dd3db-b4bc-41e1-bb43-064089612d0c,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
d9e1dafa-29b3-4ee8-86bf-df672f11162f,8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
ca59b6b5-789d-4aa5-81ed-9b68dea6817c,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
266573e5-b133-46d0-bc92-fadf99638835,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
8f75d7a3-99df-4ee5-a70e-c364f9000b32,7,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
6220105b-8646-4759-a57b-93de51878fef,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,
7365e648-f4a1-4bed-b288-e6cb75a48a9a,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
e2afc30a-965d-414f-bcc7-fc9f993720aa,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
07fe0165-17ac-456f-a2d8-b30d0069c820,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
dda39f7e-4b04-4588-8f21-cf038fe91a16,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
d9ceaab0-7ea7-4dba-9769-ad7421f41eae,5,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
f7d61a74-7b10-4336-9f40-af3f92b23af0,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,you do not specify that this exact frequency is due to the difference in energy levels being quantized
b2560518-4bc9-462c-9641-bf6f390fa262,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
d837d5ea-7013-4a3b-b8ad-d4e9f011c9fa,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
7d973d87-78ba-492d-b3fc-44ddccdcbfc9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
cfa62976-ce7a-46f2-9341-6f2877a38e11,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
9aea5b54-70d0-41a5-83a0-c8a658bfb384,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,"In both situations described, there is no energy loss. Instead, there is energy input"
302c6682-98b6-4726-95cd-9813a4bcc19d,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,The electron absorbs the energy from the added light. If the frequency of the light exceeds the minimum threshold then it will be ejected
4ceb40ea-149e-4246-86ac-09f73d420585,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
0eb7cb54-45eb-45c8-bc0d-aa0faaa7b663,7,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
4025ae74-8d5e-4e44-b0ef-11ebca02a27c,3,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,frequency is proportional to energy (not kinetic energy and not only after IE is met). you also do not specify that the energy transitions between energy levels are quantized.
247d2b84-e5be-4d12-938a-dac84fd8ffbd,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
9ab20d2d-ead5-445d-9051-5abb2e4d6de1,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,you are missing that there are specific energy transitions that correspond to the frequency/energy input
c4db1d62-875b-4b40-ba21-b6c0c9b11538,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,
221c3f15-1978-4c1a-92b6-3aabc7a64a01,5,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,frequency is proportional to energy (not kinetic energy and not only after IE is met). 
db8ca98d-1479-40c8-b69b-effb68e3aea0,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
371c93cd-eb0a-4bcd-89f4-37bd1c4772cc,8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
d87fe7d8-8a9e-4680-807a-bfe237af792d,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
79f8ecfa-b63a-49b1-8219-85d13d3919ce,7,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,
8a5072d8-171c-4053-a0f6-be1d1adfc05c,8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
5589d999-c077-4efc-8606-743ee57912e0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
fd908820-2e13-435c-baa4-bad6a8287f6a,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
176f4ac8-4eca-4ecc-9f53-30c4f99a7572,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,you do not specify that orbitals and differences in orbitals correlate to specific energies
3f7f81cd-d808-46cb-8960-6a435290acfb,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
7c1584d7-9ef8-4b5d-bb9c-6211bd89c084,6,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
015f26aa-4e5c-41ae-b89d-0c05c9b167e4,8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
